面料,ткань
LYCRA莱卡,Лайкра (LYCRA)
PU皮,Искусственная кожа (PU)
丙纶(聚丙烯纤维),Полипропилен
丝绒,Бархат
亚麻,Лён
人造纤维,Искусственное волокно
兔毛,Кроличий мех
其他,Другое
其它面料,Другие ткани
再生纤维素纤维,Волокно из восстановленной целлюлозы
呢料,Шерстяная ткань
天丝,Тенсель
摇粒绒,Флис
无具体面料,Нет конкретной ткани
桑蚕丝,Натуральный шёлк
棉,Хлопок
棉涤,Хлопок + полиэстер
棉麻,Хлопок + лён
氨纶,Спандекс
氨纶(聚氨酯弹性纤维),Спандекс (полиуретановое волокно)
氯纶,Хлорин
法兰绒,Фланель
涤棉,Полиэстер + хлопок
涤粘（TR）,Полиэстер + вискоза (TR)
涤纶,Полиэстер
涤纶（聚酯纤维）,Полиэстер (полиэфирное волокно)
灯芯绒,Вельвет
牛仔,Деним
牛皮,Кожа быка
猪皮,Кожа свиная
真丝,Натуральный шёлк
粗花呢,Твид
粘纤,Вискоза
粘纤(粘胶纤维),Вискоза (вискозное волокно)
粘胶,Вискоза
粘胶纤维,Вискозное волокно
纯棉,100% хлопок
维纶,Винилон
维纶（维尼纶）,Винилон (винол)
羊毛,Шерсть
羊毛混纺,Шерстяная смесь
羊皮,Овечья кожа
羊绒,Кашемир
羊羔绒,Овчина
羊驼毛,Альпака
聚酯纤维,Полиэфирное волокно
聚酰胺纤维(锦纶),Полиамид (нейлон)
腈纶,Акрил
苎麻,Рами
莫代尔,Модал
莱赛尔纤维,Лиоцелл (Тенсель)
蚕丝,Шёлк (от коконов)
醋纤,Ацетатное волокно
针织,Трикотаж
锦纶,Нейлон
马海毛,Мохер
麂皮,Замша
麻,Джут / конопля
