鞋面材质,Материал верха
PU(聚氨酯),PU (полиуретан)
PU革,Полиуретановая кожа
PU（聚氨酯）,PU (полиуретан)
PVC化纤,ПВХ волокно
二层牛皮,Спилок бычий
二层猪皮,Спилок свиной
二层绒面皮,Замша спилок
亮片布,Ткань с пайетками
亮片皮,Кожа с пайетками
人造毛皮,Искусственный мех
人造革,Искусственная кожа
人造革+织物,Искусственная кожа + ткань
其他,Другое
反毛皮,Велюр
合成革,Синтетическая кожа
塑胶,Пластик
复合材质,Композитный материал
太空革,Космическая кожа
头层牛皮,Натуральная кожа (бык)
头层猪皮,Натуральная кожа (свинья)
夹棉,С утеплением
小牛皮,Кожа телёнка
尼龙,Нейлон
山羊皮,Кожа козы
布,Ткань
帆布,Холст
帆布+牛皮革,Холст + бычья кожа
树脂,Смола
棉,Хлопок
棉布,Хлопковая ткань
橡胶,Резина
涤纶,Полиэстер
涤纶（聚酯纤维）,Полиэстер (волокно)
混合材质,Смешанный материал
漆皮,Лаковая кожа
灯芯绒,Вельвет
牛仔布,Джинса
牛剖层革,Расщеплённая кожа
牛反绒,Замша (бык)
牛反绒皮,Замша
牛皮,Натуральная кожа
牛皮+人造革+织物,Кожа + искусств. кожа + ткань
牛皮+织物,Кожа + ткань
牛皮头层,Натуральная бычья кожа
牛皮革,Бычья кожа
猪皮,Свиной кожаный верх
皮革,Кожа
磨砂皮,Шлифованная кожа
粗花呢,Твид
织物,Текстиль
绒面,Замша
绒面革,Замшевая кожа
网布,Сетка
羊皮,Овечья кожа
羊皮毛一体,Овчина (шерсть внутри)
羊皮革,Овечья кожа (обработка)
翻毛皮,Замша
聚氨酯,Полиуретан
蛇皮,Змеиная кожа
袋鼠皮,Кожа кенгуру
超纤,Микрофибра
超纤皮,Микрофибровая кожа
马毛,Конский волос
鳄鱼皮,Кожа крокодила
EVA,EVA
